Date, Revenue 
2017-08-01," $7,258.48 "
2017-08-02," $6,717.48 "
2017-08-03," $5,766.40 "
2017-08-04," $3,472.15 "
2017-08-05," $2,426.11 "
2017-08-06," $1,973.40 "
2017-08-07," $4,806.78 "
2017-08-08," $5,638.39 "
2017-08-09," $11,554.59 "
2017-08-10," $11,346.70 "
2017-08-11," $5,228.30 "
2017-08-12," $3,783.18 "
2017-08-13," $2,714.00 "
2017-08-14," $8,523.25 "
2017-08-15," $6,496.40 "
2017-08-16," $5,857.18 "
2017-08-17," $4,117.30 "
2017-08-18," $4,322.59 "
2017-08-19," $7,892.05 "
2017-08-20," $2,223.75 "
2017-08-21," $6,326.34 "
2017-08-22," $8,439.15 "
2017-08-23," $7,881.49 "
2017-08-24," $12,221.61 "
2017-08-25," $8,356.51 "
2017-08-26," $3,200.10 "
2017-08-27," $2,893.14 "
2017-08-28," $15,586.14 "
2017-08-29," $7,862.03 "
2017-08-30," $7,988.08 "
2017-08-31," $18,211.07 "
2017-09-01," $11,645.99 "
2017-09-02," $4,953.38 "
2017-09-03," $3,874.21 "
2017-09-04," $4,798.95 "
2017-09-05," $9,579.42 "
2017-09-06," $12,267.82 "
2017-09-07," $12,108.10 "
2017-09-08," $10,999.35 "
2017-09-09," $3,709.72 "
2017-09-10," $6,221.28 "
2017-09-11," $22,615.29 "
2017-09-12," $14,395.78 "
2017-09-13," $10,616.52 "
2017-09-14," $11,176.05 "
2017-09-15," $8,697.48 "
2017-09-16," $3,191.34 "
2017-09-17," $2,952.60 "
2017-09-18," $19,428.36 "
2017-09-19," $9,744.41 "
2017-09-20," $11,918.92 "
2017-09-21," $9,519.15 "
2017-09-22," $7,929.57 "
2017-09-23," $1,178.04 "
2017-09-24," $3,515.68 "
2017-09-25," $16,898.53 "
2017-09-26," $7,258.26 "
2017-09-27," $6,436.34 "
2017-09-28," $17,953.73 "
2017-09-29," $5,574.00 "
2017-09-30," $2,427.85 "
2017-10-01," $3,124.16 "
2017-10-02," $5,531.83 "
2017-10-03," $6,642.20 "
2017-10-04," $7,276.07 "
2017-10-05," $9,269.65 "
2017-10-06," $10,093.48 "
2017-10-07," $2,635.50 "
2017-10-08," $2,572.19 "
2017-10-09," $12,030.65 "
2017-10-10," $6,028.15 "
2017-10-11," $8,675.42 "
2017-10-12," $5,179.77 "
2017-10-13," $3,412.15 "
2017-10-14," $4,201.75 "
2017-10-15, $800.40 
2017-10-16," $3,261.71 "
2017-10-17," $5,221.01 "
2017-10-18," $6,914.74 "
2017-10-19," $5,338.76 "
2017-10-20," $3,361.90 "
2017-10-21," $1,883.50 "
2017-10-22," $5,870.04 "
2017-10-23," $6,917.70 "
2017-10-24," $5,121.04 "
2017-10-25," $9,363.18 "
2017-10-26," $5,083.83 "
2017-10-27," $4,261.56 "
2017-10-28," $1,056.76 "
2017-10-29," $2,028.53 "
2017-10-30," $4,010.96 "
2017-10-31," $3,729.62 "
2017-11-01," $5,800.25 "
2017-11-02," $4,155.00 "
2017-11-03," $7,137.80 "
2017-11-04," $5,821.85 "
2017-11-05," $2,834.26 "
2017-11-06," $2,884.65 "
2017-11-07," $6,344.20 "
2017-11-08," $5,232.13 "
2017-11-09," $3,625.70 "
2017-11-10," $1,524.10 "
2017-11-11, $-   
2017-11-12," $1,955.85 "
2017-11-13," $3,249.90 "
2017-11-14," $4,517.05 "
2017-11-15," $8,349.78 "
2017-11-16," $1,615.89 "
2017-11-17," $3,707.00 "
2017-11-18," $1,470.88 "
2017-11-19, $768.93 
2017-11-20," $5,226.87 "
2017-11-21," $5,664.00 "
2017-11-22," $13,391.05 "
2017-11-23," $24,109.56 "
2017-11-24," $29,640.96 "
2017-11-25," $16,060.73 "
2017-11-26," $14,134.23 "
2017-11-27," $28,073.50 "
2017-11-28," $6,067.78 "
2017-11-29," $5,946.05 "
2017-11-30," $4,038.65 "
2017-12-01," $3,143.60 "
2017-12-02," $4,029.30 "
2017-12-03," $3,641.74 "
2017-12-04," $2,368.61 "
2017-12-05," $6,489.70 "
2017-12-06," $3,989.50 "
2017-12-07," $8,044.73 "
2017-12-08," $6,415.25 "
2017-12-09," $6,209.78 "
2017-12-10," $4,383.29 "
2017-12-11," $5,040.94 "
2017-12-12," $8,440.48 "
2017-12-13," $4,460.65 "
2017-12-14," $7,719.50 "
2017-12-15," $3,140.26 "
2017-12-16," $6,109.69 "
2017-12-17," $3,855.51 "
2017-12-18," $4,228.61 "
2017-12-19," $2,908.15 "
2017-12-20," $2,816.46 "
2017-12-21," $4,192.10 "
2017-12-22," $3,338.25 "
2017-12-23," $1,535.75 "
2017-12-24, $234.00 
2017-12-25," $1,008.50 "
2017-12-26," $1,395.00 "
2017-12-27," $1,131.75 "
2017-12-28," $2,181.85 "
2017-12-29," $1,429.95 "
2017-12-30, $530.65 
2017-12-31," $1,559.25 "
2018-01-01," $1,290.50 "
2018-01-02," $3,026.95 "
2018-01-03," $6,003.18 "
2018-01-04," $1,137.56 "
2018-01-05," $3,439.10 "
2018-01-06, $79.35 
2018-01-07," $1,084.25 "
2018-01-08," $1,753.30 "
2018-01-09, $954.26 
2018-01-10," $2,074.90 "
2018-01-11," $5,253.10 "
2018-01-12," $1,210.50 "
2018-01-13," $2,204.95 "
2018-01-14, $27.50 
2018-01-15," $1,424.10 "
2018-01-16," $3,852.90 "
2018-01-17," $1,331.15 "
2018-01-18," $5,895.35 "
2018-01-19," $2,737.86 "
2018-01-20," $4,631.00 "
2018-01-21," $1,885.15 "
2018-01-22," $6,206.00 "
2018-01-23," $6,766.43 "
2018-01-24," $3,979.91 "
2018-01-25," $3,505.05 "
2018-01-26," $1,730.08 "
2018-01-27," $3,538.20 "
2018-01-28," $1,788.20 "
2018-01-29," $2,970.38 "
2018-01-30," $3,348.75 "
2018-01-31," $2,751.13 "
2018-02-01," $4,448.45 "
2018-02-02," $2,776.39 "
2018-02-03," $1,960.33 "
2018-02-04," $3,041.70 "
2018-02-05," $6,172.07 "
2018-02-06," $6,150.85 "
2018-02-07," $3,387.92 "
2018-02-08," $1,901.30 "
2018-02-09," $8,596.10 "
2018-02-10," $2,776.80 "
2018-02-11," $2,180.69 "
2018-02-12," $3,966.53 "
2018-02-13," $4,518.61 "
2018-02-14," $10,870.16 "
2018-02-15," $5,401.26 "
2018-02-16," $6,666.00 "
2018-02-17," $3,145.14 "
2018-02-18," $3,615.33 "
2018-02-19," $4,718.05 "
2018-02-20," $9,719.53 "
2018-02-21," $9,711.43 "
2018-02-22," $6,731.09 "
2018-02-23," $5,755.17 "
2018-02-24, $929.90 
2018-02-25," $7,357.15 "
2018-02-26," $10,076.29 "
2018-02-27," $12,270.37 "
2018-02-28," $8,838.25 "
2018-03-01," $3,456.76 "
2018-03-02," $9,240.64 "
2018-03-03," $4,700.35 "
2018-03-04," $2,618.20 "
2018-03-05," $9,247.85 "
2018-03-06," $8,574.00 "
2018-03-07," $11,330.15 "
2018-03-08," $6,435.61 "
2018-03-09," $9,200.23 "
2018-03-10," $2,701.48 "
2018-03-11," $3,839.75 "
2018-03-12," $17,994.17 "
2018-03-13," $6,184.15 "
2018-03-14," $8,440.67 "
2018-03-15," $11,495.46 "
2018-03-16," $6,575.18 "
2018-03-17," $3,203.60 "
2018-03-18," $2,484.16 "
2018-03-19," $14,036.43 "
2018-03-20," $7,841.26 "
2018-03-21," $7,590.59 "
2018-03-22," $7,018.70 "
2018-03-23," $4,855.20 "
2018-03-24," $2,180.40 "
2018-03-25," $3,870.23 "
2018-03-26," $5,773.76 "
2018-03-27," $12,432.49 "
2018-03-28," $7,977.26 "
2018-03-29," $6,339.41 "
2018-03-30," $8,984.95 "
2018-03-31," $2,197.08 "
2018-04-01," $2,369.03 "
2018-04-02," $11,004.58 "
2018-04-03," $15,330.76 "
2018-04-04," $4,977.55 "
2018-04-05," $9,175.14 "
2018-04-06," $6,116.30 "
2018-04-07," $5,365.39 "
2018-04-08," $5,403.95 "
2018-04-09," $13,366.75 "
2018-04-10," $18,493.94 "
2018-04-11," $10,188.36 "
2018-04-12," $3,747.95 "
2018-04-13," $6,564.72 "
2018-04-14," $2,259.70 "
2018-04-15," $12,895.96 "
2018-04-16," $16,322.85 "
2018-04-17," $9,384.15 "
2018-04-18," $12,202.34 "
2018-04-19," $7,256.23 "
2018-04-20," $9,738.15 "
2018-04-21," $8,328.35 "
2018-04-22," $3,275.78 "
2018-04-23," $20,855.56 "
2018-04-24," $7,810.75 "
2018-04-25," $6,697.67 "
2018-04-26," $6,815.77 "
2018-04-27," $6,212.34 "
2018-04-28," $2,897.39 "
2018-04-29," $6,088.76 "
2018-04-30," $20,397.33 "
2018-05-01," $18,052.24 "
2018-05-02," $8,486.91 "
2018-05-03," $4,588.73 "
2018-05-04," $8,027.41 "
2018-05-05," $3,133.87 "
2018-05-06," $2,717.35 "
2018-05-07," $7,619.28 "
2018-05-08," $8,916.58 "
2018-05-09," $21,832.71 "
2018-05-10," $7,317.76 "
2018-05-11," $6,452.50 "
2018-05-12," $5,086.25 "
2018-05-13," $9,065.58 "
2018-05-14," $6,455.87 "
2018-05-15," $9,530.04 "
2018-05-16," $7,768.15 "
2018-05-17," $4,151.89 "
2018-05-18," $5,892.30 "
2018-05-19," $1,774.11 "
2018-05-20," $4,087.04 "
2018-05-21," $7,316.26 "
2018-05-22," $4,685.55 "
2018-05-23," $4,714.21 "
2018-05-24," $5,158.81 "
2018-05-25," $2,824.82 "
2018-05-26, $971.85 
2018-05-27," $3,217.31 "
2018-05-28," $6,217.77 "
2018-05-29," $5,212.51 "
2018-05-30," $1,701.00 "
2018-05-31," $4,767.18 "
2018-06-01," $8,850.07 "
2018-06-02," $3,698.04 "
2018-06-03," $1,875.29 "
2018-06-04," $6,158.78 "
2018-06-05," $6,466.81 "
2018-06-06," $8,594.36 "
2018-06-07," $4,295.37 "
2018-06-08," $6,996.59 "
2018-06-09," $1,782.70 "
2018-06-10," $2,011.65 "
2018-06-11," $8,222.28 "
2018-06-12," $8,481.51 "
2018-06-13," $6,716.75 "
2018-06-14," $7,459.81 "
2018-06-15," $3,853.79 "
2018-06-16," $7,003.61 "
2018-06-17, $912.65 
2018-06-18," $6,814.67 "
2018-06-19, $-   
2018-06-20," $4,776.35 "
2018-06-21," $6,875.93 "
2018-06-22," $4,170.05 "
2018-06-23," $3,798.58 "
2018-06-24," $1,805.45 "
2018-06-25," $12,346.54 "
2018-06-26," $5,380.04 "
2018-06-27," $5,367.29 "
2018-06-28," $10,836.66 "
2018-06-29," $3,209.88 "
2018-06-30," $1,501.53 "
2018-07-01," $2,717.25 "
2018-07-02," $8,555.65 "
2018-07-03," $5,964.53 "
2018-07-04," $3,842.74 "
2018-07-05, $-   
2018-07-06," $4,929.45 "
2018-07-07," $2,489.80 "
2018-07-08," $1,831.96 "
2018-07-09," $10,290.66 "
2018-07-10," $4,870.79 "
2018-07-11, $-   
2018-07-12," $12,067.35 "
2018-07-13," $4,404.70 "
2018-07-14," $5,606.16 "
2018-07-15," $2,453.50 "
2018-07-16," $10,117.42 "
2018-07-17," $8,904.62 "
2018-07-18," $8,314.46 "
2018-07-19," $3,833.07 "
2018-07-20," $7,098.55 "
2018-07-21," $2,021.52 "
2018-07-22," $3,032.25 "
2018-07-23," $15,508.73 "
2018-07-24," $8,019.79 "
2018-07-25," $3,491.65 "
2018-07-26," $15,132.09 "
2018-07-27," $6,843.55 "
2018-07-28," $1,876.15 "
2018-07-29," $3,490.96 "
2018-07-30," $9,227.83 "
2018-07-31," $7,044.87 "
2018-08-01," $11,742.09 "
2018-08-02," $11,510.04 "
2018-08-03," $5,361.38 "
2018-08-04," $4,150.54 "
2018-08-05," $3,348.58 "
2018-08-06," $9,216.51 "
2018-08-07," $5,738.06 "
2018-08-08," $4,985.43 "
2018-08-09," $3,468.67 "
2018-08-10," $10,038.74 "
2018-08-11," $2,605.90 "
2018-08-12," $2,444.29 "
2018-08-13," $7,324.64 "
2018-08-14," $7,462.19 "
2018-08-15, $-   
2018-08-16," $23,680.84 "
2018-08-17," $3,957.84 "
2018-08-18," $7,455.91 "
2018-08-19," $4,708.29 "
2018-08-20," $8,115.23 "
2018-08-21," $5,645.40 "
2018-08-22," $10,933.00 "
2018-08-23," $7,617.19 "
2018-08-24," $10,598.00 "
2018-08-25," $2,935.85 "
2018-08-26," $4,253.45 "
2018-08-27," $12,016.09 "
2018-08-28," $12,724.59 "
2018-08-29," $8,001.79 "
2018-08-30," $5,431.90 "
2018-08-31," $7,032.98 "
2018-09-01," $6,312.72 "
2018-09-02," $3,218.59 "
2018-09-03," $6,990.72 "
2018-09-04," $10,946.42 "
2018-09-05," $15,257.33 "
2018-09-06," $10,618.46 "
2018-09-07," $8,102.65 "
2018-09-08," $3,219.84 "
2018-09-09," $4,721.90 "
2018-09-10," $13,197.35 "
2018-09-11," $13,610.44 "
2018-09-12," $13,943.86 "
2018-09-13," $8,952.87 "
2018-09-14," $8,925.81 "
2018-09-15," $7,247.50 "
2018-09-16," $5,965.17 "
2018-09-17," $13,587.05 "
2018-09-18," $16,532.45 "
2018-09-19," $11,688.95 "
2018-09-20," $13,642.97 "
2018-09-21," $6,662.87 "
2018-09-22," $3,896.49 "
2018-09-23," $3,424.21 "
2018-09-24," $9,895.37 "
2018-09-25," $12,154.01 "
2018-09-26," $11,751.65 "
2018-09-27," $10,411.46 "
2018-09-28," $5,891.52 "
2018-09-29," $4,782.38 "
2018-09-30," $6,305.31 "
2018-10-01," $7,656.13 "
2018-10-02," $7,275.55 "
2018-10-03," $7,097.06 "
2018-10-04," $10,885.56 "
2018-10-05," $6,737.54 "
2018-10-06," $4,544.85 "
2018-10-07," $4,792.65 "
2018-10-08," $6,751.21 "
2018-10-09," $16,079.73 "
2018-10-10," $6,518.09 "
2018-10-11," $13,991.88 "
2018-10-12," $4,860.09 "
2018-10-13," $1,721.65 "
2018-10-14," $2,106.53 "
2018-10-15," $10,929.39 "
2018-10-16," $5,986.86 "
2018-10-17," $5,541.86 "
2018-10-18," $6,182.05 "
2018-10-19, $-   
2018-10-20," $1,118.60 "
2018-10-21," $2,957.45 "
2018-10-22," $8,689.36 "
2018-10-23," $6,489.61 "
2018-10-24," $5,818.74 "
2018-10-25," $4,410.90 "
2018-10-26," $3,851.88 "
2018-10-27, $-   
2018-10-28," $1,644.85 "
2018-10-29," $4,670.35 "
2018-10-30," $6,428.85 "
2018-10-31," $1,962.69 "
